"Label","Location","Type","Size","Namespace"
"g_profile_Komore","8068e6a8","f_pc_profile__Profile_Actor","48","d_a_komore"
"__vt","8068e6e4","undefined1","1","mDoExt_baseAnm"
"__vt","8068e6f0","undefined1","1","daKomore::Act_c"
"m_arcname","8068f848","string","7","daLbridge_c"
"@4045","8068f850","undefined4","4","d_a_lbridge"
"@4046","8068f854","undefined4","4","d_a_lbridge"
"@4098","8068f858","undefined4","4","d_a_lbridge"
"@4099","8068f85c","undefined4","4","d_a_lbridge"
"@4100","8068f860","undefined4","4","d_a_lbridge"
"@4101","8068f864","undefined4","4","d_a_lbridge"
"@4102","8068f868","undefined4","4","d_a_lbridge"
"@4103","8068f86c","undefined4","4","d_a_lbridge"
"@4104","8068f870","undefined4","4","d_a_lbridge"
"@4248","8068f878","undefined8","8","d_a_lbridge"
"@4356","8068f880","undefined4","4","d_a_lbridge"
"@stringBase0","8068f884","string","16","d_a_lbridge"
"s_modelData_!=_0_8068f894","8068f894","string","15","Global"
"s_pbtk_!=_0_8068f8a8","8068f8a8","string","10","Global"
"s_pbpk_!=_0_8068f8b2","8068f8b2","string","10","Global"
"s_pbrk_!=_0_8068f8bc","8068f8bc","string","10","Global"
"s_EFFAPPEAR_8068f8c6","8068f8c6","string","10","Global"
"profile_method_class_8068f8e0","8068f8e0","profile_method_class","32","Global"
"f_pc_profile__Profile_Actor_8068f900","8068f900","f_pc_profile__Profile_Actor","48","Global"
"__vt","8068f931","undefined1","1","mDoExt_brkAnm"
"__vt","8068f93d","undefined1","1","mDoExt_bpkAnm"
"__vt","8068f949","undefined1","1","mDoExt_btkAnm"
"__vt","8068f955","undefined1","1","mDoExt_baseAnm"
"PTR___sinit_d_a_leaflift_cpp_80690ce0","80690ce0","pointer","4","Global"
"__destroy_global_chain_reference","80690ce8","pointer","4","global_destructor_chain"
"m_arcname","80690cf0","string","6","daLlift_c"
"@4134","80690cf8","undefined4","4","d_a_leaflift"
"@4135","80690cfc","undefined4","4","d_a_leaflift"
"@4136","80690d00","undefined4","4","d_a_leaflift"
"@4137","80690d04","undefined4","4","d_a_leaflift"
"@4138","80690d08","undefined4","4","d_a_leaflift"
"@4139","80690d0c","undefined4","4","d_a_leaflift"
